average_weighted_aoi_float,best_mean_episode_return_float,best_timestep,checkpoint_saved_path,elapsed_seconds,evaluation_index,evaluations_without_improvement,freshness_violation_count_integer,mean_episode_return_float,penalized_score_float,std_episode_return_float,terminal_cpu_violation_count_integer,timesteps
8.480817773753154,-5750.8421000388635,100000,,199.42314910888672,1,0,98.14,-5750.8421000388635,2637.8808177737533,803.4014354896068,0.5,100000
8.585673320133731,-5750.8421000388635,100000,,389.3963198661804,2,1,99.26,-5805.722067458293,2579.185673320134,965.8424580876941,0.48,200000
9.014375357761523,-5750.8421000388635,100000,,585.1483607292175,3,2,104.16,-6098.362984099408,2526.6143753577617,896.0465888840253,0.28,300000
9.04578156910198,-5750.8421000388635,100000,,782.8928594589233,4,3,104.4,-6118.245235102466,2599.0457815691025,802.7733394905955,0.4,400000
8.91706958518635,-5750.8421000388635,100000,results/td3_zone_2km_3m_sigma005_seed1/checkpoints/td3_checkpoint_500000_steps.zip,978.536652803421,5,4,100.72,-5932.242004726955,2540.1170695851865,907.4517859903577,0.34,500000
9.168874813639048,-5750.8421000388635,100000,,1179.2952647209167,6,5,104.32,-6142.060497665054,2664.368874813639,779.9481441429743,0.46,600000
8.878875104029673,-5750.8421000388635,100000,,1392.9696695804596,7,6,101.26,-5939.390347206542,2479.4788751040296,955.0581431513069,0.32,700000
8.820085499301467,-5750.8421000388635,100000,,1580.4860472679138,8,7,103.42,-6053.347885524174,2637.020085499302,976.5727952663879,0.4,800000
9.009948778641885,-5750.8421000388635,100000,,1779.4962449073792,9,8,101.96,-5985.509390982058,2544.6099487786414,830.2386540688656,0.42,900000
8.83018561937238,-5750.8421000388635,100000,results/td3_zone_2km_3m_sigma005_seed1/checkpoints/td3_checkpoint_1000000_steps.zip,1977.265353679657,10,9,100.0,-5871.4031052654245,2560.8301856193725,934.7309504132955,0.44,1000000
9.023974873295412,-5750.8421000388635,100000,,2181.576201438904,11,10,101.9,-6004.193271942675,2634.0239748732956,1154.410466486462,0.46,1100000
8.669516956780898,-5750.8421000388635,100000,,2371.2542769908905,12,11,100.32,-5878.92953695805,2583.8695169567814,943.387220914947,0.42,1200000
8.585226691589847,-5750.8421000388635,100000,,2552.424305677414,13,12,98.68,-5797.18670162512,2667.38522669159,947.3854229806814,0.56,1300000
8.352098735276897,-5750.8421000388635,100000,,2735.280336856842,14,13,98.42,-5733.478317090614,2638.552098735277,809.4689435906529,0.52,1400000
8.687890842541988,-5750.8421000388635,100000,results/td3_zone_2km_3m_sigma005_seed1/checkpoints/td3_checkpoint_1500000_steps.zip,2913.28927898407,15,14,100.76,-5895.526585440375,2570.2878908425423,812.8895198222161,0.42,1500000
8.694236791506246,-5750.8421000388635,100000,,3088.955987930298,16,15,101.04,-5914.393051684521,2679.0942367915063,914.1236073690536,0.54,1600000
8.681494116128855,-5750.8421000388635,100000,,3261.340379714966,17,16,100.94,-5880.346690415942,2420.081494116129,838.1504833058125,0.3,1700000
8.90781324696166,-5750.8421000388635,100000,,3440.132314682007,18,17,102.44,-6005.351360104565,2531.307813246962,937.6700309273907,0.4,1800000
8.917328858217154,-5750.8421000388635,100000,,3623.546911239624,19,18,102.26,-6024.424371935194,2709.5173288582173,946.7665447216983,0.56,1900000
8.882818536290351,-5750.8421000388635,100000,results/td3_zone_2km_3m_sigma005_seed1/checkpoints/td3_checkpoint_2000000_steps.zip,3817.5277502536774,20,19,102.02,-5975.643369307553,2501.08281853629,891.553737049227,0.36,2000000
8.592517470112021,-5750.8421000388635,100000,,4019.1534626483917,21,20,98.24,-5757.890532593059,2570.992517470112,1035.5306348158533,0.44,2100000
8.77842968984764,-5750.8421000388635,100000,,4204.494198799133,22,21,101.92,-5967.9332771419795,2621.978429689848,923.5549843480798,0.42,2200000
8.745337483199139,-5750.8421000388635,100000,,4389.510932445526,23,22,99.88,-5860.685465644633,2549.545337483199,795.4602913042409,0.38,2300000
8.720467009034428,-5750.8421000388635,100000,,4575.631830692291,24,23,102.92,-6014.777510341502,2637.9204670090344,810.6229871014273,0.44,2400000
8.69920338895789,-5750.8421000388635,100000,results/td3_zone_2km_3m_sigma005_seed1/checkpoints/td3_checkpoint_2500000_steps.zip,4759.888847827911,25,24,101.92,-5960.90129465579,2667.899203388958,736.7646963099946,0.48,2500000
8.90237091022906,-5750.8421000388635,100000,,4945.860844612122,26,25,102.72,-6032.443892573989,2632.1023709102287,977.0932077814075,0.44,2600000
8.79864222282839,-5750.8421000388635,100000,,5131.191084384918,27,26,99.14,-5831.995457231616,2544.1986422228283,861.0004285483234,0.4,2700000
8.786439733442934,-5750.8421000388635,100000,,5314.409749031067,28,27,101.04,-5929.068373238795,2593.186439733443,903.6091419857607,0.46,2800000
8.444645063024337,-5687.138227876442,2900000,,5499.124215126038,29,0,97.26,-5687.138227876442,2527.0446450630243,781.8153433976602,0.48,2900000
8.688853306240784,-5687.138227876442,2900000,results/td3_zone_2km_3m_sigma005_seed1/checkpoints/td3_checkpoint_3000000_steps.zip,5683.8941950798035,30,1,102.92,-6013.5941523256115,2739.8888533062413,926.1303024590344,0.54,3000000
