#{"t_start": 1782840714.3012211, "env_id": "None"}
r,l,t
-12670.536283,40,0.656519
-13226.831873,40,0.692223
-11546.041973,40,0.728227
-11948.875021,40,0.764137
-13657.739066,40,0.799707
-13742.696713,40,0.835647
-13228.60234,40,0.871295
-13198.652259,40,0.907259
-11217.173342,40,0.942925
-12822.080923,40,0.978762
-13022.449349,40,1.017273
-10521.787619,40,1.05334
-11329.527206,40,1.08939
-11942.817208,40,1.125295
-12867.695986,40,1.160614
-14593.531707,40,1.196188
-12010.424305,40,1.231423
-13223.608998,40,1.267273
-13939.846919,40,1.303322
-13134.340127,40,1.339235
-11773.648553,40,1.375237
-11392.708792,40,1.410649
-13304.875353,40,1.446307
-12458.729343,40,1.481811
-13410.565488,40,1.516849
-13627.753029,40,1.551838
-12929.96942,40,1.586669
-12829.773247,40,1.62183
-10273.470073,40,1.657145
-11785.718299,40,1.693516
-13113.133338,40,1.729933
-13044.209514,40,1.765916
-11408.065606,40,1.801984
-12273.986891,40,1.838305
-12294.534775,40,1.874112
-14126.921485,40,1.909924
-13013.387745,40,1.945949
-12301.795866,40,1.981507
-13835.663297,40,2.017105
-11324.514688,40,2.053303
-12409.529531,40,2.089724
-12743.61967,40,2.125612
-14105.478565,40,2.161431
-13376.144559,40,2.196981
-13808.313313,40,2.232487
-13486.704966,40,2.267998
-11247.8908,40,2.303777
-13787.177301,40,2.339427
-11440.269248,40,2.390624
-11573.009994,40,2.429955
-12311.471206,40,2.466371
-11968.651298,40,2.502418
-12988.161363,40,2.538154
-13943.166399,40,2.573895
-14113.719555,40,2.609488
-14526.184291,40,2.645284
-12504.665834,40,2.680871
-12416.268585,40,2.716274
-13940.056413,40,2.751807
-12812.285846,40,2.787339
-12391.856146,40,2.823331
-13198.214773,40,2.858264
-11675.388058,40,2.893698
-13147.640033,40,2.929357
-13270.943044,40,2.965057
-10633.432382,40,3.000289
-10738.214796,40,3.035305
-12297.124538,40,3.070689
-11539.914665,40,3.105945
-10877.934286,40,3.141212
-9840.414567,40,3.17711
-12336.111819,40,3.212559
-14961.483725,40,3.248078
-13531.971187,40,3.282914
-13500.64334,40,3.3186
-12526.980551,40,3.370292
-14128.606031,40,3.40655
-12011.391967,40,3.442502
-10960.586623,40,3.477831
-12930.782495,40,3.513358
-12223.212566,40,3.549978
-12567.164965,40,3.58662
-12262.799226,40,3.622338
-13934.138204,40,3.657874
-12873.151301,40,3.692809
-13445.985502,40,3.728665
-12444.848393,40,3.764576
-13626.106283,40,3.800728
-11319.125145,40,3.835947
-12774.647127,40,3.871168
-11160.132825,40,3.90763
-12441.068777,40,3.942793
-11319.284664,40,3.978173
-12731.398362,40,4.013659
-12806.969154,40,4.048887
-12083.472637,40,4.084421
-12745.938153,40,4.120368
-10718.92613,40,4.15595
-11638.223693,40,4.191519
-14547.563234,40,4.227118
-12657.491174,40,4.263072
-14205.012188,40,4.298839
-14366.773744,40,4.334493
-13434.580587,40,4.370014
-13030.172701,40,4.405543
-12924.27106,40,4.441338
-13608.624422,40,4.477136
-13252.710356,40,4.513702
-12071.951192,40,4.549676
-12580.25685,40,4.585382
-14473.532279,40,4.621174
-12942.445371,40,4.656556
-13745.699415,40,4.692694
-13517.990186,40,4.728609
-12914.229048,40,4.764008
-12450.181459,40,4.800031
-12187.092401,40,4.835867
-11954.759673,40,4.871779
-12423.802501,40,4.907219
-12070.929986,40,4.943241
-11299.928836,40,4.979143
-14146.867332,40,5.014532
-11680.578112,40,5.049898
-14863.58806,40,5.085219
-11440.595523,40,5.12089
-12675.829018,40,5.15667
-14895.859203,40,5.192364
-12003.961116,40,5.227876
-10920.541424,40,5.263995
-15006.533262,40,5.299592
-10967.783477,40,5.335625
-12480.45243,40,5.371994
-12454.167007,40,5.4076
-11910.904781,40,5.443141
-11913.079415,40,5.479379
-13119.558225,40,5.515673
-11837.245989,40,5.551019
-13059.173632,40,5.586625
-11976.090501,40,5.622352
-11673.624098,40,5.657966
-11079.214491,40,5.693904
-12947.504186,40,5.729235
-13509.22682,40,5.765181
-11976.666703,40,5.801033
-12418.045373,40,5.83642
-13681.276668,40,5.872267
-14426.544647,40,5.907605
-10641.824023,40,5.943293
-11511.110917,40,5.979591
-11090.110517,40,6.015679
-14473.426712,40,6.052028
-14343.155317,40,6.087969
-12826.468536,40,6.124342
-12351.926389,40,6.16101
-11594.941007,40,6.196729
-12265.656685,40,6.232185
-13918.205158,40,6.268131
-11572.862699,40,6.303498
-13506.485006,40,6.33947
-13465.632054,40,6.37562
-12674.179904,40,6.412366
-12701.265864,40,6.447958
-13729.583554,40,6.484006
-12937.011375,40,6.520416
-13479.524427,40,6.556302
-14948.885222,40,6.59186
-13443.513754,40,6.627942
-11445.089226,40,6.663583
-10990.202369,40,6.699021
-13564.797425,40,6.734799
-12960.875859,40,6.771483
-14818.129843,40,6.807386
-13181.759108,40,6.843127
-10985.32106,40,6.879301
-12550.117459,40,6.915349
-12434.613389,40,6.951206
-11976.972339,40,6.987404
-13843.346225,40,7.023714
-11634.925813,40,7.059584
-11452.739125,40,7.095566
-12384.54039,40,7.132308
-13101.134615,40,7.168043
-12972.034727,40,7.203999
-12482.960352,40,7.240684
-12484.401937,40,7.276602
-11954.872932,40,7.312326
-12307.161768,40,7.347632
-12866.216201,40,7.383584
-13700.54517,40,7.419797
-11879.925425,40,7.455462
-11591.852403,40,7.492071
-13246.305408,40,7.527851
-13309.643932,40,7.563866
-13189.72863,40,7.599573
-13433.864286,40,7.635159
-14254.694535,40,7.671082
-12471.879481,40,7.706846
-12222.576865,40,7.74198
-14237.146135,40,7.777365
-12379.313363,40,7.813816
-13341.511589,40,7.850264
-12997.639791,40,7.885932
-12491.989497,40,7.921273
-13483.02841,40,7.957406
-10620.593494,40,7.993222
-12408.087384,40,8.028955
-11254.016965,40,8.064881
-11912.571094,40,8.100413
-12514.877372,40,8.136361
-10242.299643,40,8.171916
-14927.422591,40,8.208038
-12140.005826,40,8.243485
-12650.028875,40,8.278853
-13984.068303,40,8.314603
-12137.014971,40,8.349942
-11696.868352,40,8.386493
-14228.607912,40,8.423186
-13068.526497,40,8.460617
-11003.138685,40,8.503424
-12433.371414,40,8.54219
-12846.262221,40,8.581289
-12077.944045,40,8.619019
-12032.666376,40,8.656096
-11244.830952,40,8.693503
-8712.786623,40,8.731404
-11597.48988,40,8.786879
-12815.48021,40,8.825126
-12606.65029,40,8.862408
-12571.717493,40,8.899043
-13861.504844,40,8.936168
-13165.315683,40,8.973382
-13346.197675,40,9.009414
-12811.525519,40,9.045799
-14317.594055,40,9.081623
-13110.900637,40,9.117834
-11339.941799,40,9.153836
-12130.976694,40,9.189551
-11303.850075,40,9.225965
-12918.895229,40,9.270085
-12468.235285,40,9.31547
-13188.602386,40,9.353395
-9908.358246,40,9.390044
-13555.035841,40,9.42645
-10441.378466,40,9.462548
-12437.08824,40,9.499822
-14191.388022,40,9.536519
-13229.917806,40,9.573067
-12389.283951,40,9.609443
-11817.607744,40,9.648182
-11594.857276,40,9.684443
-15645.245036,40,11.301649
-15646.613572,40,11.377743
-15647.675306,40,11.450748
-15648.600075,40,11.52328
-15650.974424,40,11.595126
-15651.136879,40,11.667814
-15653.455712,40,11.740201
-15654.204232,40,11.810775
-15658.005226,40,11.886816
-15660.419958,40,11.961096
-15663.578227,40,12.044045
-15665.386748,40,12.118701
-15666.829231,40,12.193306
-15666.169772,40,12.27018
-15665.643888,40,12.345022
-15663.704887,40,12.419234
-15662.173239,40,12.49151
-15659.40962,40,12.575146
-15656.820652,40,12.6487
-15654.898599,40,12.721284
-15653.804387,40,12.877681
-15651.653231,40,12.966526
-15649.829054,40,13.04144
-15648.638738,40,13.116245
-15649.38518,40,13.191647
-15649.429308,40,13.272386
-15644.810727,40,13.370772
-15641.364902,40,13.473336
-15637.694762,40,13.606071
-15637.864554,40,13.738717
-15635.86317,40,13.871187
-13314.827956,40,14.005239
-9280.810226,40,14.139641
-6937.743987,40,14.278871
-7742.451845,40,14.411901
-6913.797609,40,14.54731
-7126.080701,40,14.679271
-7689.516193,40,14.808915
-6706.758967,40,14.936033
-6299.443109,40,15.063749
-4985.356017,40,15.192095
-4404.554192,40,15.296984
-5577.703896,40,15.446371
-5638.16899,40,15.546617
-5481.526341,40,15.621626
-5522.322235,40,15.692419
-4713.464415,40,15.761463
-4651.032017,40,15.831718
-4896.217687,40,15.902988
-4815.563849,40,15.973891
-4942.174357,40,16.043683
-5502.784104,40,16.114647
-5065.456192,40,16.185308
-4283.713767,40,16.256335
-4572.737734,40,16.326324
-4772.028415,40,16.400364
-4402.549382,40,16.470912
-3864.595489,40,16.541208
-3911.342823,40,16.613201
-3909.880041,40,16.682675
-3886.734429,40,16.753425
-4125.195938,40,16.821315
-4155.387868,40,16.890454
-3886.195164,40,16.958678
-3930.499322,40,17.029389
-3955.916241,40,17.09987
-3930.522579,40,17.170486
-4399.192497,40,17.242401
-4267.072365,40,17.329211
-4787.117072,40,17.413787
-4817.818899,40,17.496488
-4482.009406,40,17.580259
-4807.187039,40,17.662302
-4828.433319,40,17.743437
-4858.747855,40,17.825178
-4806.15563,40,17.907104
-4825.717453,40,17.989138
-4989.272887,40,18.068665
-5145.44892,40,18.135535
-5113.921993,40,18.199912
-4194.586414,40,18.267828
-4313.915096,40,18.335124
-4225.727099,40,18.401968
-4349.805992,40,18.468085
-4216.242801,40,18.534525
-4962.935934,40,18.60779
-4194.043148,40,18.673275
-5036.957197,40,18.738593
-5089.478006,40,18.80544
-5141.823523,40,18.872059
-4697.062844,40,18.939531
-4731.775558,40,19.004846
-4776.041245,40,19.070883
-5492.563886,40,19.137525
-5596.703269,40,19.205112
-6156.526492,40,19.271237
-5994.650922,40,19.338114
-6178.696537,40,19.405869
-5705.463149,40,19.474781
-6159.136176,40,19.542907
-6208.384531,40,19.614563
-6268.267946,40,19.683296
-6241.919182,40,19.762541
-6547.736131,40,19.828295
-5569.78815,40,19.910016
-6263.646988,40,19.977222
-5467.185648,40,20.049253
-6791.200291,40,20.116918
-5569.980878,40,20.186553
-6268.245892,40,20.255432
-6268.175141,40,20.327709
-6204.664846,40,20.397334
-4722.554571,40,20.469481
-4719.168601,40,20.541238
-5371.588078,40,20.613013
-5386.515306,40,20.681443
-5262.541255,40,20.749054
-5810.172727,40,20.820628
-5675.949022,40,20.891313
-5092.45712,40,20.959326
